# This is a continuation of trace file C:\Users\1\AppData\Local\1C\1cedtstart\projects\ЗаявкаДеск\.metadata\trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2026-06-28 20:59:17.258
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:17.258 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Creating designer agent connection: infobase=ЗаявкаДеск, agent directory=null, connection directory=null |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:17.265 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Starting designer agent for infobase ЗаявкаДеск: C:\Program Files (x86)\1cv8\8.5.1.1150\bin\1cv8.exe DESIGNER /F D:\Диск C\Документы\InfoBase110 /AgentMode /AgentSSHHostKeyAuto /AgentBaseDir C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310 /AppAutoCheckVersion- /AgentPort 24753 /Out C:\Users\1\AppData\Local\Temp\1cedt\1cv8-16516158686520031904.log -NoTruncate |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:17.377 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Designer agent process identifier is 22 164 |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:18.379 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Creating and connecting designer client to host localhost and port 24753 |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:18.642 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | New designer agent connection: DesignerAgentConnection[client=DesignerClient[sshSession=[host=localhost, port=24753, connected=true]], client.connected=true, server=Process[pid=22164, exitValue="not exited"], server.alive=true, server.pid=22164, agentBaseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310, type=DESIGNER_AGENT, connectionDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\Admin, hostname=localhost, port=24753, fileTransfer=null, fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=true, closed=false, EOF=false], session=[host=localhost, port=24753, connected=true]]], transferingSession=null, isConnected=true, isOpen=false, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=null] |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:18.644 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Openning 1C:Enterprise designer agent connection with localhost:24753: DesignerAgentConnection[client=DesignerClient[sshSession=[host=localhost, port=24753, connected=true]], client.connected=true, server=Process[pid=22164, exitValue="not exited"], server.alive=true, server.pid=22164, agentBaseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310, type=DESIGNER_AGENT, connectionDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\Admin, hostname=localhost, port=24753, fileTransfer=null, fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=true, closed=false, EOF=false], session=[host=localhost, port=24753, connected=true]]], transferingSession=null, isConnected=true, isOpen=false, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=PT1M] |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:18.726 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Trying to get connection directory for agent base directory "C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310" and username "Admin".. |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.732 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Replacing old connection DesignerAgentConnection[client=DesignerClient[sshSession=null], client.connected=false, server=Process[pid=22100, exitValue=1], server.alive=false, server.pid=22100, agentBaseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-20091, type=DESIGNER_AGENT, connectionDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-20091\0, hostname=localhost, port=54088, fileTransfer=DelegatingDesignerFileTransfer[enabled=true, bypassFileNames=[ConfigDumpInfo.xml, load.lst, changes.txt], delegate=LocalDesignerFileTransfer[baseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-20091\0]], fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=false, closed=true, EOF=true], session=[host=localhost, port=54088, connected=false]]], transferingSession=com._1c.g5.designer.ssh.client.integration.TransferingDesignerSession@16ca7798, isConnected=false, isOpen=true, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=PT1M] with this connection DesignerAgentConnection[client=DesignerClient[sshSession=[host=localhost, port=24753, connected=true]], client.connected=true, server=Process[pid=22164, exitValue="not exited"], server.alive=true, server.pid=22164, agentBaseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310, type=DESIGNER_AGENT, connectionDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\0, hostname=localhost, port=24753, fileTransfer=DelegatingDesignerFileTransfer[enabled=true, bypassFileNames=[ConfigDumpInfo.xml, load.lst, changes.txt], delegate=LocalDesignerFileTransfer[baseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\0]], fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=true, closed=false, EOF=false], session=[host=localhost, port=24753, connected=true]]], transferingSession=com._1c.g5.designer.ssh.client.integration.TransferingDesignerSession@1252ec63, isConnected=true, isOpen=true, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=PT1M] |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.829 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Opening designer session: DesignerSessionInfobaseConnection [v8project=Configuration:ЗаявкаДеск, infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@490ad82a (name: ЗаявкаДеск, uuid: a89c7344-87ba-4bf9-a6f1-6179cae0157d, external: false, orderInList: 33792.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.3.27, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null), ][baseDirectory=C:\Users\1\AppData\Local\Temp\1cedt\ssh-5310\0, requiresSynchronization=true] |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.832 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Reusing cached alive designer agent connection for infobase ЗаявкаДеск |
| Worker-21: Запуск ЗаявкаДеск Веб-клиент | 2026-06-28 20:59:19.835 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 228 | Reusing alive cached designer agent connection for infobase ЗаявкаДеск from the pool |
